V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,target
0.538,0.421,1.413,0.919,-0.034,-0.4614237588652482,0.922,0.393,0.3,0.042,0.012,-0.37174290780141844,0.37,1.621,0.207,0.498,0.57,-0.897,0.139,0.253,-0.023,-0.768,-0.063,0.345,-0.729,0.043,0.113,0.412,-0.45,0.138,-0.243,0.453,0.26,-0.04,0.273,0.3641731062503687,0.072,-1.316,0.905
0.495,0.251,1.384,0.946,-0.163,-0.4614237588652482,0.999,0.407,0.357,0.042,0.116,-1.73,0.082,0.84,0.351,0.099,0.741,-0.897,0.256,0.203,-0.164,0.124,-0.226,0.344,0.372,0.164,0.101,0.385,-0.454,-0.522,-0.172,0.24,0.639,0.075,0.385,0.364,0.274,-1.038,0.818
0.465,0.447,1.168,0.848,-0.043,-1.565,0.979,0.426,0.302,0.042,0.258,-1.595,0.108,1.309,0.324,-0.424,0.673,-0.897,0.268,-0.492,-0.45,-0.263,-0.259,0.359,0.381,0.103,0.464,0.472,-0.301,-0.526,-0.274,0.567,-0.301,0.123,0.441,0.364,0.489,-0.655,0.916
0.684,0.386,1.886,0.848,-0.076,-1.653,1.05,0.448,0.815,0.042,0.189,-1.521,0.286,0.616,0.301,-0.424,0.662,-0.897,0.265,0.392,-0.37,0.291,-0.259,0.366,0.378,0.203,0.395,0.449,0.744,-0.385,-0.307,0.557,0.562,0.19,0.498,0.364,0.217,-1.628,0.901
0.379,0.171,1.045,0.781,0.057,-0.964,1.009,0.448,0.454,0.042,-0.023,-0.086,0.169,0.579,0.108,-0.336,0.762,-0.897,0.249,-0.014,-0.445,0.337,-0.259,0.361,0.373,0.174,0.492,0.378,0.741,-0.356,-0.079,0.15,0.497,0.19,0.498,0.364,0.131,-0.206,0.772
0.7,0.684,1.212,0.726,0.174,-0.4614237588652482,0.949,0.47,0.927,0.042,-0.031,-2.092,0.389,1.249,-0.015,-0.22,0.602,-0.897,0.241,-0.045,-0.402,-0.381,-0.259,0.361,0.094,0.121,0.346,0.516,0.742,-0.124,0.09,0.623,0.324,0.19,0.498,0.364,-0.017,-0.763,1.011
0.924,0.577,1.579,0.703,0.325,-1.679,1.02,0.469,1.038,0.042,0.269,-1.862,0.391,0.844,-0.09,-0.057,0.602,-0.897,0.251,-0.021,-0.11,-0.076,-0.259,0.355,-0.746,0.149,0.207,0.476,0.739,0.049,0.253,0.814,0.169,0.19,0.498,0.364,0.149,-1.451,1.152
0.823,0.544,1.506,0.62,0.1,-0.4614237588652482,1.125,0.467,0.791,0.042,0.253,-2.089,0.546,1.169,-0.445,0.096,0.936,-0.897,0.253,0.075,-0.116,-0.41,-0.259,0.355,-0.885,0.168,0.559,0.518,0.664,0.049,0.602,0.686,-0.449,0.19,0.498,0.364,0.466,-1.18,1.171
0.502,0.257,1.497,0.524,-0.361,-1.328,1.396,0.64,0.59,0.042,0.319,-1.241,-0.616,1.181,-0.409,-0.293,1.206,-0.366,0.258,-0.671,-0.371,-0.478,-0.259,0.338,0.515,0.434,0.844,0.493,0.74,-0.904,-0.461,0.228,-0.642,0.19,0.498,0.364,0.362,-0.88,0.68
0.847,0.628,1.708,0.428,0.376,-1.566,1.156,0.814,0.725,0.042,-0.101,-1.418,0.685,0.737,-0.359,0.042,1.072,-0.366,0.062,-0.309,-0.399,-0.139,-0.063,0.3411044134692819,-0.886,0.069,0.808,0.422,1.436,0.058,-0.518,0.813,-0.367,-0.04,0.273,0.3641731062503687,0.125,-1.671,0.701
0.534,0.49,0.777,0.443,0.162,-0.87,1.161,0.814,0.362,0.042,0.463,-0.224,0.26,0.258,-0.526,0.057,1.126,-0.366,0.066,0.102,-0.166,0.164,-0.063,0.358,-0.886,0.224,0.304,0.308,1.439,0.048,0.223,0.604,0.1,-0.04,0.273,0.3641731062503687,0.513,0.239,0.393
0.891,0.881,1.044,0.551,0.467,-1.411,1.083,0.853,0.941,0.042,0.051,-1.291,0.81,0.345,-0.631,0.16,0.836,-0.897,0.074,0.046,0.117,0.046,0.133,0.359,-1.023,0.121,-0.053,0.442,-0.452,0.048,0.734,0.936,0.406,-0.04,0.273,0.364,-0.365,-0.199,0.9
0.918,0.918,1.504,0.558,0.468,-1.689,1.062,0.837,0.824,0.042,0.154,-1.874,1.042,1.339,-0.589,0.304,0.815,-0.897,0.064,-0.234,0.117,-0.987,-0.194,0.358,-1.313,0.057,0.077,0.456,-0.456,0.483,0.187,0.867,0.957,-0.04,0.273,0.364,0.055,-1.606,1.271
0.441,0.452,0.814,0.635,0.084,-1.078,1.064,0.814,0.143,0.042,1.429,-0.658,0.741,0.808,-0.427,0.504,0.928,0.165,0.082,-0.377,0.125,-0.358,-0.259,0.344,-0.885,-0.023,0.271,0.252,-0.458,0.169,-0.207,0.322,-0.235,-0.04,0.273,0.364,1.171,0.101,0.653
0.536,0.437,0.887,0.529,0.023,-0.78,1.104,0.781,0.814,0.042,0.091,0.23,0.33,-0.257,-0.239,0.038,0.89,-0.366,0.074,-0.458,0.035,0.571,-0.621,0.354,-0.885,-0.028,0.43,0.391,-0.456,-0.186,0.585,0.658,-0.167,-0.04,0.273,0.364,-0.229,0.144,0.976
0.545,0.491,1.371,0.451,0.018,-0.4614237588652482,1.024,0.768,0.624,0.042,-0.453,-2.202,0.467,0.446,-0.469,-0.08,0.629,-0.366,0.069,-0.48,0.105,0.018,0.133,0.358,-0.885,-0.073,0.425,0.473,-0.453,-0.166,0.876,0.444,0.835,-0.04,0.273,0.364,-0.267,-1.043,0.874
0.65,0.455,1.513,0.42,0.187,-0.4614237588652482,0.967,0.751,0.437,0.042,0.431,-2.106,0.519,1.851,-0.605,0.061,0.669,-0.366,0.078,-0.844,0.087,-1.352,-0.03,0.351,-0.885,-0.072,1.09,0.385,-0.455,0.054,0.521,0.499,-0.484,-0.04,0.273,0.364,0.332,-1.626,0.963
0.566,0.208,1.972,0.416,-0.203,-0.4614237588652482,1.073,0.728,0.366,0.042,0.317,-1.986,0.558,1.211,-0.416,-0.095,0.66,-0.366,0.071,-0.38,0.125,-0.588,-0.063,0.334,-0.151,0.055,0.994,0.328,1.127,-0.471,0.418,0.19,-0.351,-0.04,0.273,0.364,0.485,-0.34174645390070924,0.682
-0.054,0.093,1.11,0.309,-0.812,-0.734,1.177,0.763,0.266,0.042,0.366,0.241,-0.782,0.036,-0.281,-0.859,1.02,-0.366,-0.378,-0.237,0.032,0.437,-0.063,0.358,0.8,0.425,0.621,0.374,1.124,-1.119,-0.211,0.272,-0.564,-0.327,-0.29,0.364,0.567,-0.131,0.336
0.513,0.283,1.397,0.256,-0.017,-1.307,1.076,0.755,0.522,0.042,-0.058,-0.854,-0.017,-0.462,-0.163,-1.012,0.707,-0.366,-0.048,0.079,0.036,0.754,-0.063,0.36,0.8,0.266,0.258,0.385,1.129,-1.119,-0.058,0.488,-0.591,-0.508,-0.084,0.364,-0.082,-1.401,0.708
0.78,0.442,1.39,0.24,0.263,-1.565,1.015,0.732,0.787,0.042,0.169,-1.534,0.111,0.633,-0.121,-0.798,0.74,-0.366,0.085,-0.126,0.045,-0.079,-0.226,0.351,0.713,0.045,0.687,0.511,1.126,-0.741,-0.312,0.64,-0.553,-0.097,0.301,0.364,-0.224,-1.539,1.207
0.918,0.621,1.232,0.138,0.315,-0.816,1.017,0.7,0.708,0.042,0.3,-0.077,0.285,0.517,-0.096,-0.584,0.87,-0.366,0.073,-0.105,-0.119,0.051,-0.259,0.351,-0.054,-0.05,0.638,0.534,1.124,-0.475,-0.433,0.598,-0.598,-0.064,0.284,0.364,0.332,-0.613,1.222
1.333,0.973,1.706,0.017,0.733,-1.486,1.001,0.676,1.31,0.042,0.852,-1.447,0.472,0.324,-0.08,0.042,1.012,-0.366,0.077,0.019,-0.097,0.138,-0.259,0.352,-0.741,-0.184,0.317,0.668,1.131,-0.208,-0.444,1.108,-0.716,-0.04,0.273,0.364,0.918,-1.357,1.382
1.033,0.976,1.16,-0.06,0.82,-0.885,1.044,0.676,1.066,0.042,0.724,-0.31,1.065,0.53,-0.078,0.042,1.152,-0.366,0.063,-0.31,-0.068,-0.014,-0.259,0.354,-1.308,-0.129,0.464,0.491,1.128,0.592,0.096,1.069,-0.743,-0.04,0.273,0.364,0.623,-0.055,1.238
1.098,0.852,2.131,0.021,0.7,-0.4614237588652482,1.075,0.693,1.156,0.042,0.133,-2.052,1.21,0.148,-0.053,0.818,1.158,-0.366,0.071,-0.19,-0.122,0.26,-0.259,0.356,-1.314,-0.108,0.102,0.511,-0.458,0.786,-0.048,1.013,-0.811,-0.04,0.273,0.364,0.433,-1.756,1.337
0.448,0.188,1.147,0.022,0.3,-1.297,1.139,0.714,0.295,0.042,0.859,-1.044,0.621,0.428,-0.173,0.971,1.246,-0.366,0.083,-0.41,-0.327,0.082,-0.096,0.348,-1.313,0.007,0.544,0.235,-0.451,0.883,-0.346,0.416,-0.815,-0.04,0.273,0.364,0.839,-0.011,0.772
0.532,0.402,0.954,0.065,0.436,-1.634,1.074,0.744,0.319,0.042,0.391,-1.775,0.707,0.784,-0.31,0.959,1.089,-0.366,0.072,-0.275,-0.157,-0.303,-0.063,0.358,-1.313,-0.059,0.662,0.382,-0.457,0.696,-0.448,0.602,-0.861,-0.04,0.273,0.364,0.608,-0.103,0.698
1.036,0.795,1.683,0.183,0.458,-1.615,1.085,0.711,0.969,0.042,-0.219,-1.38,1.027,-0.272,-0.455,0.827,0.775,-0.366,-0.149,-0.246,-0.056,0.552,-0.259,0.361,-1.313,-0.05,0.43,0.595,-0.456,0.679,-0.102,0.919,-0.829,-0.207,-0.056,0.364,-0.231,-1.345,1.052
0.272,0.097,0.645,0.161,0.194,-1.179,0.938,0.711,-0.087,0.042,0.878,-0.737,0.643,0.14,-0.499,0.73,0.885,0.165,-0.031,-0.364,-0.106,0.226,-0.259,0.361,-1.309,-0.109,0.764,0.312,-0.455,0.593,0.47,0.236,-0.398,-0.307,0.202,0.364,0.965,0.297,0.27
0.395,0.327,0.915,0.169,0.258,-1.68,0.753,0.673,0.138,0.042,0.162,-2.116,0.669,0.911,-0.574,0.73,0.551,-0.366,0.069,-0.115,-0.388,-0.595,-0.259,0.353,-1.313,-0.243,0.96,0.283,0.739,0.77,0.348,0.338,0.114,-0.212,0.273,0.364,0.049,-0.428,0.719
0.681,0.612,1.061,0.157,0.378,-0.4614237588652482,0.759,0.631,0.575,0.042,-0.079,-2.095,0.619,0.202,-0.638,0.68,0.504,-0.366,0.075,-0.13,-0.358,0.126,-0.096,0.353,-1.312,-0.429,0.853,0.4,0.745,0.632,0.395,0.653,-0.096,-0.083,0.273,0.364,-0.038,-0.67,1.14
0.604,0.601,0.799,0.136,0.048,-0.858,0.757,0.592,0.482,0.042,0.875,-0.018,0.339,-0.054,-0.925,0.181,0.668,-0.366,-0.828,-0.575,-0.476,0.255,0.314,0.343,-1.309,-0.349,1.344,0.374,0.973,-0.175,0.712,0.595,-0.476,-0.35,-0.313,0.364,0.632,0.089,0.541
0.368,0.509,0.7,0.087,0.263,-0.757,0.689,0.592,0.539,0.042,0.285,0.065,0.446,-0.035,-0.834,-0.176,0.529,-0.366,-0.646,-0.471,-0.376,0.2,0.314,0.347,-1.308,-0.198,1.373,0.331,0.972,-0.175,1.211,0.737,-0.4,-1.187,-0.571,0.364,0.155,0.336,0.343
0.576,0.625,1.096,0.097,0.21,-1.238,0.677,0.555,0.613,0.042,-0.348,-0.73,0.541,-0.862,-0.731,-0.176,0.497,-0.366,-0.392,0.075,-0.297,0.605,-0.063,0.35,-1.309,-0.16,0.526,0.452,0.972,-0.014,0.157,0.828,-0.308,-0.881,-0.402,0.364,-0.337,-0.53,0.55
0.374,0.361,0.794,0.091,0.183,-0.4614237588652482,0.636,0.539,0.144,0.042,-0.229,-1.929,0.351,-0.447,-0.527,-0.142,0.438,-0.366,-0.838,0.112,-0.288,0.357,-0.226,0.348,-1.309,-0.163,0.199,0.435,1.912,-0.02,-0.252,0.365,-0.6,-0.795,-0.426,0.364,0.237,-0.275,0.74
-0.515,-0.643,-0.019,0.008,-0.417,-1.203,0.533,0.516,-0.642,0.042,1.357,-1.078,-0.168,0.063,-0.597,-0.115,0.31,0.165,-0.143,0.221,-1.021,-0.052,-0.259,0.35,-1.309,-0.384,0.249,0.026,0.969,0.074,-0.232,-0.327,-0.354,-0.613,-0.149,0.364,1.488,1.022,-0.374
0.211,0.233,0.07,-0.109,0.268,-0.788,0.441,0.481,0.371,0.042,0.099,-0.047,0.483,-0.62,-0.42,-0.061,0.073,-0.366,-0.386,-0.21,-1.0,0.446,-0.063,0.35,-1.311,-0.61,0.107,0.152,-0.461,0.074,0.16835706383469856,0.28,0.656,-0.327,-0.009,0.364,-0.063,0.911,0.549
0.026,0.448,0.722,-0.074,0.153,-0.4614237588652482,0.357,0.481,0.362,0.042,-0.875,-1.888,0.491,0.354,-0.235,0.267,-0.064,-0.366,-0.384,-0.725,-1.019,-0.211,-0.063,0.346,-1.309,-0.799,0.379,0.364,-0.458,0.393,1.195,0.056,0.17712913916229506,-0.494,-0.173,0.364,-0.433,-0.536,0.58
0.692,0.615,0.934,0.022,0.534,-0.4614237588652482,0.37,0.388,0.494,0.042,-0.12,-2.141,0.765,0.153,-0.213,0.267,0.191,-0.897,-0.391,0.148,-0.918,-0.104,-0.063,0.346,-1.313,-0.709,0.353,0.413,-0.457,0.4,-0.085,0.742,0.07,-0.613,-0.29,0.364,-0.308,-0.907,0.69
0.659,0.57,0.694,0.684,0.511,-0.788,0.408,0.388,0.526,0.042,0.823,-0.087,0.615,0.344,-0.196,0.473,0.372,0.165,0.08,-0.118,-0.616,-0.255,-0.226,0.362,-1.312,-0.535,0.807,0.309,-0.455,0.481,0.446,0.707,-0.075,-0.279,-0.102,0.364,0.658,0.108,0.563
0.616,0.612,0.997,0.733,0.249,-1.438,0.457,0.39,0.555,0.042,0.245,-1.35,0.669,0.109,-0.177,0.438,0.383,0.165,0.063,-0.543,-0.467,0.102,-0.259,0.346,-1.311,-0.402,0.747,0.371,-0.454,0.34,0.178,0.622,0.279,-0.04,-0.009,0.364,0.097,-0.558,0.81
0.715,0.564,0.665,0.552,0.21,-0.579,0.515,0.402,0.794,0.042,0.266,0.547,0.62,-0.751,-0.273,0.367,0.531,0.165,0.071,-0.206,-0.431,0.694,0.133,0.358,-1.311,-0.323,0.693,0.322,-0.455,0.263,-0.107,0.847,0.587,-0.04,0.273,0.364,-0.004,0.322,0.84
0.587,0.429,0.756,0.484,0.303,-0.954,0.474,0.402,0.525,0.042,0.173,-0.124,0.493,-0.954,0.034,0.197,0.379,0.165,0.078,-0.188,-0.658,0.863,0.133,0.34,-1.308,-0.456,0.581,0.457,1.284,0.155,-0.271,0.501,-0.39,-0.04,0.273,0.364,0.056,-0.061,0.894
0.09,0.178,0.09,-0.275,-0.093,-0.236,0.076,0.275,0.487,0.042,-0.919,1.107,0.005,-2.077,0.071,0.041,-0.567,-0.897,-0.582,0.053966723394432585,0.424,1.526,-0.063,0.358,0.659,0.058,0.259,0.258,-0.455,-0.147,-0.494,0.13,-0.855,-0.843,0.16,0.364,0.22761818775662554,0.294,-0.236
0.27,0.282,-0.047,0.244,0.664,-0.349,-0.009,0.224,0.198,0.042,-0.188,0.671,0.84,-1.325,0.101,-0.162,-0.582,-0.897,-0.571,0.053966723394432585,0.707,1.06,-0.063,0.365,0.665,-0.352,0.591,0.399,-0.453,0.129,0.268,-0.204,-0.39,-0.843,0.16,0.364,-0.524,0.355,0.431
0.479,0.588,-0.171,0.489,0.968,-0.259,-0.047,0.213,0.248,0.042,0.743,1.001,0.976,-1.992,-0.006,-0.104,-0.555,-0.897,-0.585,0.053966723394432585,0.615,1.5,-0.226,0.318,0.655,-0.666,0.361,0.299,-0.445,0.129,-0.521,0.748,-0.749,-0.843,0.16,0.364,0.335,0.887,0.404
0.40560646770201064,0.35042033371151843,0.804,0.537,1.234,-0.627,-0.049,-0.03,0.4284308510638298,0.042,0.251,0.272,0.181,-1.009,-0.347,1.566,0.441,-1.162,-0.583,0.053966723394432585,1.524,0.925,-0.259,0.366,-1.309,-0.228,0.811,0.3359893617021276,-0.451,1.227,0.496,1.275,0.924,-0.843,0.16,0.364,0.741,-1.107,1.495
0.634,0.409,0.968,0.182,0.152,-0.699,0.084,0.193,0.575,0.042,-0.464,0.21,0.282,-0.43,-0.084,1.163,0.262,-0.897,-0.569,0.053966723394432585,-0.794,0.498,-0.259,0.346,-0.608,-0.446,1.356,0.466,-0.451,0.703,-0.077,0.163,0.009,-0.843,0.779,0.364,-0.783,-0.941,1.114
-0.047,0.087,1.296,-0.211,-0.658,-0.679,0.31,0.303,0.105,0.042,-0.482,0.192,-0.676,-0.086,-0.192,0.488,0.374,-1.162,-0.576,-0.11488400277,-1.091,0.403,-0.259,0.351,0.093,-0.304,1.641,0.425,-0.448,-0.61,0.671,0.134,1.431,-0.843,0.16,0.364,-0.46,-1.636,0.437
-0.49,-0.107,-0.036,-0.263,-0.563,-0.364,0.315,0.303,0.493,0.042,0.565,0.799,-0.098,-1.36,-0.554,-0.959,0.539,-1.162,0.442,0.053966723394432585,-1.623,1.147,-0.259,0.356,0.095,-0.08,1.166,0.304,-0.449,-1.258,0.16835706383469856,0.548,-0.574,-0.738,0.16,0.364,-0.26,1.295,-0.186
-0.169,0.234,0.176,1.356,0.126,-0.257,0.081,0.092,0.677,-0.03307235614231207,0.0343185595568,0.956,-0.65,-0.973,0.204,-1.84,0.407,1.492,0.055033933518,0.053966723394432585,-0.777,1.03,-0.063,0.3411044134692819,1.52,0.315,0.962,0.538,-1.742,-1.857,0.055476800554,0.62,0.0208057479224,-0.843,0.16,0.364,0.0306578947368,1.229,0.869
0.092,-0.366,-0.273,-0.436,0.042,-0.125,-0.438,-0.944,0.224,-0.03307235614231207,0.2513143946091433,0.87,-0.158,0.284,-0.382,-0.485,-0.134,0.165,0.055033933518,0.053966723394432585,-0.705,0.267,-0.817,0.3411044134692819,0.094,-0.14,-0.792,-0.067,-0.451,-0.421,0.055476800554,0.257,0.0208057479224,-0.843,0.16,0.364,1.781,1.682,-0.707
0.988,0.776,0.59,-0.203,0.584,-0.344,-0.302,-0.889,0.934,-0.03307235614231207,-0.183,0.387,0.042,-0.768,-1.236,-0.182,0.228,-0.366,0.055033933518,0.053966723394432585,0.398,0.591,-0.817,0.3411044134692819,0.094,-0.008,-0.664,0.588,-0.451,-0.185,0.055476800554,0.661,0.0208057479224,-0.843,0.16,0.364,-0.217,-0.798,0.496
0.123047783934,0.0560682132964,0.677,-0.867,0.0129207063712,-0.146,-0.458,0.4343865248226951,0.4284308510638298,-0.03307235614231207,-1.018,0.637,0.0231765927978,-0.426,-0.597,-1.118,-0.182,-1.428,-0.387,-1.164,-1.332,0.528,-0.817,0.359,1.508,0.789,0.796,0.3359893617021276,1.489,-1.482,-0.433,-0.423,-0.092,-0.613,0.554,0.364,-0.671,1.141,-2.856
-0.01,-0.444,0.258,0.93,0.484,-0.6,0.258,-0.511,-0.359,-0.03307235614231207,1.233,-0.425,0.353,0.67,-0.48,-0.053,0.316,-1.428,0.99,0.105,-0.277,-0.094,-0.817,0.352,-0.113,-0.14,-0.531,0.04,0.48,0.551,-0.248,0.112,-0.178,1.107,0.741,0.364,1.499,0.718,-0.067
0.363,0.357,0.395,0.859,0.46,-0.987,0.213,-0.42,0.078,-0.03307235614231207,-0.648,-1.332,0.465,1.191,-0.342,0.467,0.024,-1.162,0.979,-0.035,-0.258,-0.609,-0.817,0.351,-0.613,-0.196,-0.547,0.295,0.479,0.592,0.114,0.139,0.536,1.107,0.835,0.364,-0.419,-0.17,0.356
0.533,0.229,1.183,0.863,-0.045,-1.498,0.296,-0.434,0.241,-0.03307235614231207,-0.338,-2.069,0.471,0.755,-0.376,0.65,-0.021,-1.251,0.104,-0.339,-0.251,-0.082,-0.621,0.357,-0.612,-0.088,-0.618,0.187,0.478,0.243,0.547,-0.079,0.287,0.964,0.835,0.364,-0.506,-2.17,0.474
1.476,0.35042033371151843,0.696,0.993,1.143,-0.409,0.369,-0.399,1.452,-0.03307235614231207,0.396,0.059,0.718,0.194,-0.934,-0.475,0.219,-1.428,0.069,-0.624,0.779,0.227,-0.817,0.351,0.688,0.147,0.104,0.671,0.497,-0.206,-0.426,1.191,-0.267,-0.04,0.273,0.364,0.29,-0.263,1.365
1.614,0.35042033371151843,0.864,1.54,0.13554063955030357,-0.452,0.457,-0.399,0.4284308510638298,-0.03307235614231207,0.884,-0.035,0.914,0.431,-0.933,0.01,0.705,-1.162,0.057,-0.928,1.033,0.026,-0.817,0.353,0.237,0.087,0.187,0.617,0.493,0.66,-0.657,0.36121099290780145,-0.288,-0.04,0.273,0.364,0.525,-0.343,1.795
0.773,0.724,0.549,1.589,1.239,-0.418,0.51,-0.258,0.816,-0.03307235614231207,1.272,-0.058,1.344,0.24,-0.88,1.044,0.648,-0.366,0.06,-1.196,0.474,-0.004,-0.817,0.35,-1.318,-0.087,-0.082,0.401,0.498,1.37,-0.571,1.083,-0.24,-0.04,0.273,0.364,1.469,0.508,1.072
0.861,1.152,0.631,1.665,1.326,-0.467,0.547,-0.172,1.11,-0.03307235614231207,0.735,0.09,1.493,-0.379,-0.937,1.517,0.571,-0.366,0.08,-1.395,0.414,0.528,-0.637,0.351,-1.319,-0.283,-0.119,0.527,0.339,1.921,-0.314,1.228,-0.296,-0.04,0.273,0.364,0.387,0.301,1.244
0.443,0.39,0.396,1.529,0.909,-0.647,0.463,-0.164,0.262,-0.03307235614231207,-0.161,-0.305,0.87,-0.835,-0.907,1.898,0.172,-0.808,0.064,-0.439,-0.057,0.697,-0.621,0.346,-1.319,-0.427,-0.53,0.356,-0.451,-0.06613652482269503,0.096,0.35,-0.208,-0.04,0.273,0.364,0.522,0.362,0.609
0.865,0.824,1.276,0.476,0.452,-0.334,0.132,0.025,0.835,-0.03307235614231207,-0.129,0.434,0.314,-0.058,-0.134,-0.088,0.314,-0.897,0.984,-1.111,0.182,0.668,-0.801,0.36,0.291,0.041,0.575,0.53,1.287,-0.025,0.368,0.911,-0.134,1.107,0.273,0.364,-0.103,-0.718,0.387
0.743,0.865,0.917,0.584,0.656,-0.853,0.098,0.027,0.5,-0.03307235614231207,-0.203,-0.672,0.543,1.094,-0.114,-0.051,0.304,-0.897,0.983,-1.246,0.624,-0.226,-0.817,0.36,0.682,0.228,0.819,0.505,1.285,-0.006,0.168,0.775,-0.647,1.107,0.273,0.364,0.424,-0.596,0.239
0.246,0.2,0.7,1.319,0.448,-0.406,0.376,0.136,0.079,-0.03307235614231207,1.139,0.217,0.659,-0.512,-1.045,-0.224,1.022,0.165,-0.38,-0.815,0.214,0.791,-0.621,0.348,0.796,0.263,0.767,0.337,1.285,-0.262,0.348,0.3,-0.357,0.342,0.015,0.364,1.46,0.521,0.639
0.952,0.739,1.983,1.094,0.341,-0.628,0.565,0.338,1.122,-0.03307235614231207,-0.144,-0.103,0.116,-0.359,-0.162,0.034,1.151,-0.366,0.069,-0.85,-0.501,0.692,-0.621,0.351,0.093,0.353,-0.033,0.618,1.736,-0.126,-0.102,0.711,-0.478,0.629,0.273,0.364,0.097,-1.597,1.193
0.234,0.384,0.501,1.099,0.623,-0.532,0.465,0.367,0.303,-0.03307235614231207,0.334,-0.136,0.604,0.112,-0.166,0.05,1.232,-0.366,0.991,-0.699,-0.567,0.372,-0.621,0.35,-0.59,0.307,-0.226,0.337,2.145,0.128,0.025,0.541,-0.306,0.534,0.273,0.364,0.881,0.679,0.151
