Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,Item_Visibility_MeanRatio,Outlet_Years,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
5.92,0.019200003,47.7692,OUT046,492.692,0.9296325760160922,26,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
7.5,0.032811503,239.6906,OUT017,2614.5966,0.963983033512353,16,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
20.2,0.196659953,125.8046,OUT019,249.0092,1.6148105887325246,38,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
8.27,0.089554186,150.8708,OUT046,2407.5328,0.8747287914406751,26,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
11.0,0.015664229,122.2756,OUT019,121.1756,1.6148105547338854,38,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
17.85,0.081605462,122.3388,OUT019,371.5164,1.614810592295439,38,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
11.85,0.055672032,50.5666,OUT013,922.7988,1.0267170496131826,36,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
15.1,0.173481304,194.511,OUT046,4910.275,1.1416630232284468,26,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
15.6,0.035506142,112.4518,OUT046,3301.7022,0.8747288021435908,26,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
20.5,0.032762495,40.0822,OUT035,1257.0304,0.9988808416911967,19,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
19.6,0.025325897,150.9024,OUT049,3795.06,1.3502137553916005,24,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
18.25,0.015278899,199.0084,OUT046,3174.5344,1.0366184255331727,26,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
19.2,0.182501773,239.2196,OUT013,5061.4116,0.9288589887256367,36,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
7.435,0.08150672511111111,167.5158,OUT027,4345.0108,1.0,38,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
6.57,0.066338717,261.4278,OUT018,4165.2448,0.9626267071750838,14,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
19.7,0.043168763,82.8592,OUT019,165.1184,1.8557329331805101,38,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
11.5,0.173516063,128.1652,OUT046,2454.1388,1.1717954505724695,26,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
4.785,0.0931174,118.6098,OUT017,361.5294,0.8796766154987545,16,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
19.0,0.114916546,188.4214,OUT019,565.2642,1.5315372005934367,38,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
16.2,0.128682722,178.437,OUT045,1058.622,0.9608976405361087,21,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
9.395,0.170246782,141.5838,OUT027,3231.1274,0.8704928794445687,38,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
20.25,0.018801549,222.1772,OUT035,5559.43,0.9221155258126473,19,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
4.59,0.070721656,113.286,OUT013,1471.418,1.1410224616213176,36,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
7.5,0.032626952,235.9906,OUT046,6893.0274,0.9585610315754793,26,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
20.1,0.077769768,63.0536,OUT018,980.0576,1.146626137108345,14,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
9.5,0.142425145,189.9872,OUT010,756.3488,1.9631247930140803,25,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
10.695,0.127620811,119.244,OUT013,3475.476,0.8740008658278865,36,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
19.6,0.127416049,167.4816,OUT027,1006.6896,0.870492878923363,38,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
9.285,0.049559042,246.4144,OUT017,1225.072,1.1303110164198993,16,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
7.935,0.031866022,261.291,OUT018,2892.901,1.1898176994231087,14,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
9.5,0.232072674,229.4668,OUT019,460.7336,1.8564288915645588,38,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
19.1,0.026018497,148.2418,OUT017,3089.9778,1.0430713437959074,16,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
20.0,0.136124989,38.319,OUT010,146.476,1.6044637236952026,25,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False
19.75,0.014301326,103.0332,OUT046,1230.3984,0.9135793648072382,26,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
8.71,0.120663214,95.6778,OUT027,2910.2118,0.9543090915308571,38,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
7.905,0.010003987,250.7408,OUT013,5757.8384,0.9288590110356055,36,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
21.1,0.010221988222222221,233.2958,OUT018,2103.2622,1.0,14,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
18.25,0.075311837,122.6046,OUT049,2988.1104,1.000623039060522,24,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
8.895,0.13842353,163.0236,OUT017,1127.8652,1.0387677618660254,16,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
5.095,0.129395895,140.3838,OUT013,1826.2894,0.8740008678725698,36,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
12.15,0.062235983,34.5532,OUT013,359.532,0.9288589815405836,36,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
15.2,0.033599041,107.7912,OUT046,1091.912,0.9590984502696116,26,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
5.095,0.129479176,139.7838,OUT035,1264.3542,0.8745633870025413,19,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
18.2,0.12695078944444446,44.1086,OUT045,1115.215,1.0,21,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
11.1,0.09415375,165.7526,OUT019,657.8104,1.6790026719759485,38,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
6.92,0.038610722,61.4852,OUT018,1314.2892,1.0031395394137548,14,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
11.6,0.041112694,142.0154,OUT018,850.8924,1.1767398814300212,14,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
7.84,0.153806271,51.335,OUT045,1198.44,1.0387207098555722,21,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
6.55,0.042941559,102.9332,OUT019,102.5332,1.6148105880614025,38,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
13.5,0.12128146740000001,262.891,OUT019,788.973,1.0,38,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
9.3,0.11184963,64.6826,OUT017,774.9912,1.004720894585065,16,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
17.75,0.049634572,140.2838,OUT010,280.9676,1.6047757036564043,25,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
5.5,0.047290068,100.5016,OUT018,1416.8224,1.0411841650023608,14,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
17.25,0.10764721,39.3822,OUT017,314.2576,1.1487641275211045,16,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
6.67,0.089512542,133.1626,OUT027,3672.5528,1.0318822409603257,38,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
7.72,0.074883035,79.8986,OUT045,1090.5804,0.9315179253083767,21,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
17.75,0.014568036,158.1262,OUT013,4137.2812,0.8624702798871359,36,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
6.785,0.04022593,210.9928,OUT019,210.3928,1.5315371852572053,38,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
5.92,0.019308607,49.0692,OUT017,1478.076,0.9348910031260073,16,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
7.93,0.071425647,45.9086,OUT018,1070.6064,0.9334195312972606,14,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
18.7,0.070349402,228.601,OUT027,7350.432,1.1547011121450166,38,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
5.88,0.024926013,149.9392,OUT049,1491.392,0.9237238289296676,24,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
18.6,0.118180011,56.2588,OUT046,1030.6584,1.032925117862815,26,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
6.36,0.120788077,45.706,OUT045,838.908,0.9315179253115251,21,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
16.25,0.025715562,168.1474,OUT013,1516.0266,0.8740008500615333,36,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
19.85,0.005209791,265.2884,OUT027,3179.8608,1.0319384219027978,38,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
18.85,0.09079168,127.1336,OUT013,3579.3408,0.9215224118429837,36,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
12.85,0.033271818,196.5768,OUT049,5715.2272,0.8760887678259643,24,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
10.0,0.073794811,121.444,OUT017,2516.724,1.1664531227079724,16,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
17.85,0.147023834,93.7436,OUT018,1134.5232,1.0320193035784213,14,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
16.2,0.074019393,41.7454,OUT010,83.8908,1.604335746624922,25,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
19.1,0.177236497,172.3422,OUT035,2586.633,0.9583207041868896,19,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
15.35,0.020409765,218.3508,OUT018,2387.5588,1.0031395224940685,14,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
13.5,0.07266912,160.292,OUT046,1438.128,0.8626517449642818,26,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
13.6,0.117537563,195.4136,OUT013,5443.5808,0.928858989057195,36,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
15.1,0.059417055,237.9248,OUT049,2133.2232,1.3351065042185977,24,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
17.0,0.138846289,263.7884,OUT027,1324.942,0.9942317069370122,38,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
21.25,0.009950343,185.5608,OUT027,3307.6944,0.8704928603543214,38,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
12.3,0.05271592,189.653,OUT018,569.259,0.9260469293268859,14,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
14.65,0.172357491,50.8692,OUT017,788.3072,1.033646187596074,16,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
11.8,0.008609602,114.8492,OUT017,1390.1904,1.0047209187167998,16,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
15.35,0.035292855,124.573,OUT018,1601.249,1.0031395279609114,14,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
19.6,0.041270420555555555,42.877,OUT049,649.155,1.0,24,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
9.5,0.031131455,111.0228,OUT027,3205.1612,1.3264803069889297,38,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
13.5,0.021583971,179.5976,OUT018,2173.1712,1.0408411816512382,14,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
20.25,0.014790559,193.6162,OUT035,3848.324,0.929456797546824,19,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
16.6,0.027573983,176.6344,OUT035,2676.516,0.9294568253974805,19,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
8.96,0.06893834,196.4768,OUT046,2561.9984,1.1239534724664577,26,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
7.42,0.02050719,249.7092,OUT017,7719.2852,1.0328358024535707,16,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
6.92,0.038671588,64.2852,OUT017,438.0964,1.0047208900863984,16,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
5.82,0.077254736,257.633,OUT013,1537.998,1.0269215062410535,36,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
11.0,0.054928641,101.7358,OUT035,1508.037,1.1417568529184907,19,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
18.1,0.049016517,128.7336,OUT049,2173.1712,1.0006230275310384,24,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
6.135,0.08238455419999999,114.286,OUT046,2376.906,1.0,26,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
15.7,0.037201127,181.7634,OUT013,2544.6876,0.9215224206658739,36,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
18.35,0.015291576,106.1938,OUT013,1607.907,0.9215224239323173,36,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
5.325,0.138679995,53.7298,OUT046,862.8768,1.3016994053355757,26,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
10.3,0.070040195,263.0226,OUT046,4229.1616,0.8747287967366582,26,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
16.7,0.022047313,110.2886,OUT013,1890.2062,0.8740008585994037,36,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
7.09,0.007256127,50.4034,OUT017,340.2238,1.0430713325860763,16,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
7.075,0.022548195,95.7068,OUT013,583.2408,1.0363413251425224,36,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
14.7,0.072284689,49.8034,OUT035,631.8442,0.9294568204911882,19,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
5.51,0.034668802,98.5726,OUT017,1761.7068,1.0338877113088276,16,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
16.75,0.008184912,101.2674,OUT013,1528.011,0.9573363414174366,36,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
19.6,0.023835164,103.3964,OUT027,3050.6956,0.8704928665654751,38,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
20.75,0.021250002,150.5024,OUT046,2580.6408,1.1709182146918293,26,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
12.35,0.15872563522222224,75.9328,OUT027,3012.0792,1.0,38,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
17.35,0.056235142,102.0016,OUT017,1619.2256,1.3390271109802263,16,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
20.6,0.04792722,185.9556,OUT035,4318.3788,0.8745633920561079,19,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
19.0,0.065735977,189.6214,OUT049,2826.321,0.8760887591666263,24,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
9.0,0.068153091,36.019,OUT019,73.238,1.6148105985342116,38,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
16.1,0.159595473,32.8558,OUT013,339.558,1.0601358450770937,36,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
6.71,0.03558013,217.5166,OUT035,4572.0486,0.9583207003173081,19,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
9.8,0.02426524,114.0492,OUT027,3938.8728,0.9942317204659429,38,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
14.0,0.105145451,144.2812,OUT046,4844.3608,0.9581336431659407,26,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
7.565,0.054376275,56.293,OUT027,2546.685,0.9178236876972049,38,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
10.1,0.053584207,224.4088,OUT046,4697.8848,1.0366184143440371,26,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
13.65,0.025899245,81.1302,OUT013,792.302,0.928858987320761,36,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
6.135,0.079094835,114.386,OUT049,1018.674,0.9600687382247195,24,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
15.2,0.033436336,107.3912,OUT027,3057.3536,0.9544539690967375,38,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
8.97,0.162856593,54.5956,OUT019,218.3824,1.5315371965922526,38,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
6.865,0.01405025,128.9652,OUT018,1679.1476,1.146156756988806,14,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
20.85,0.032421521,181.666,OUT013,1438.128,0.9209752135922405,36,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
15.6,0.037841362,125.2704,OUT018,2628.5784,0.8782920780652956,14,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
6.57,0.066014596,259.7278,OUT013,2863.6058,0.9579234577746424,36,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
18.6,0.076855628,161.0236,OUT046,483.3708,1.0247665743355372,26,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
7.05,0.085138334,108.6912,OUT045,1310.2944,0.8765027627137628,21,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
16.5,0.066237024,183.1292,OUT035,6385.022,1.0327297971552398,19,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
15.0,0.058346234,44.0744,OUT013,633.8416,1.3305299943935691,36,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
12.65,0.116203156,53.5324,OUT010,415.4592,1.464116670731349,25,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
16.5,0.160371305,143.9128,OUT018,1581.9408,0.9626267090088038,14,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
17.1,0.047073322,138.6838,OUT017,2950.1598,0.879676622224542,16,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
15.6,0.104786172,172.2764,OUT027,1545.9876,0.8704928820285378,38,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
10.8,0.082150145,192.9504,OUT027,7478.2656,0.8704928816515973,38,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
17.5,0.02687089,264.491,OUT046,3681.874,0.9222899104669331,26,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
19.35,0.026329989,169.2474,OUT017,3705.8428,1.0425591916231018,16,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
6.525,0.090806457,86.4882,OUT017,1631.8758,0.9275067627084058,16,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
8.235,0.014518575,182.195,OUT018,2380.235,1.0031395580601807,14,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
20.5,0.143283608,37.919,OUT046,183.095,1.1423063278600432,26,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
20.7,0.04874969,37.5506,OUT035,113.8518,0.9988808339906843,19,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
9.395,0.045361705,83.825,OUT045,665.8,0.9241603556791635,21,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
